points;dist_tests
10;55
50;8962
100;26535
500;304263
1000;777957
1500;1308044
2000;1775613
2500;2481723
3000;2926102
5000;5907561
10000;13657558
15000;20926321
20000;29872656
50000;65387576
100000;143585900
